# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2             	(1.446359e+01 -6.188679e+01 0.000000e+00)	(0.000000e+00 -6.188699e+01 0.000000e+00)	(1.446359e+01 1.951383e-04 0.000000e+00)
3             	(1.457905e+01 -6.234863e+01 0.000000e+00)	(0.000000e+00 -6.234924e+01 0.000000e+00)	(1.457905e+01 6.013110e-04 0.000000e+00)
4             	(1.469338e+01 -6.281206e+01 0.000000e+00)	(0.000000e+00 -6.281328e+01 0.000000e+00)	(1.469338e+01 1.219575e-03 0.000000e+00)
5             	(1.480776e+01 -6.327902e+01 0.000000e+00)	(0.000000e+00 -6.328108e+01 0.000000e+00)	(1.480776e+01 2.059143e-03 0.000000e+00)
6             	(1.492079e+01 -6.383847e+01 0.000000e+00)	(0.000000e+00 -6.384185e+01 0.000000e+00)	(1.492079e+01 3.375892e-03 0.000000e+00)
7             	(1.505576e+01 -6.450700e+01 0.000000e+00)	(0.000000e+00 -6.451240e+01 0.000000e+00)	(1.505576e+01 5.406665e-03 0.000000e+00)
8             	(1.521835e+01 -6.521980e+01 0.000000e+00)	(0.000000e+00 -6.522791e+01 0.000000e+00)	(1.521835e+01 8.110169e-03 0.000000e+00)
9             	(1.539007e+01 -6.602410e+01 0.000000e+00)	(0.000000e+00 -6.603595e+01 0.000000e+00)	(1.539007e+01 1.184545e-02 0.000000e+00)
10            	(1.558442e+01 -6.687522e+01 0.000000e+00)	(0.000000e+00 -6.689182e+01 0.000000e+00)	(1.558442e+01 1.660183e-02 0.000000e+00)
11            	(1.578862e+01 -6.780676e+01 0.000000e+00)	(0.000000e+00 -6.782954e+01 0.000000e+00)	(1.578862e+01 2.277519e-02 0.000000e+00)
12            	(1.601237e+01 -6.878447e+01 0.000000e+00)	(0.000000e+00 -6.881485e+01 0.000000e+00)	(1.601237e+01 3.037686e-02 0.000000e+00)
13            	(1.624592e+01 -6.983338e+01 0.000000e+00)	(0.000000e+00 -6.987322e+01 0.000000e+00)	(1.624592e+01 3.983768e-02 0.000000e+00)
14            	(1.649667e+01 -7.092569e+01 0.000000e+00)	(0.000000e+00 -7.097688e+01 0.000000e+00)	(1.649667e+01 5.118932e-02 0.000000e+00)
15            	(1.675682e+01 -7.208048e+01 0.000000e+00)	(0.000000e+00 -7.214538e+01 0.000000e+00)	(1.675682e+01 6.489519e-02 0.000000e+00)
16            	(1.703223e+01 -7.327419e+01 0.000000e+00)	(0.000000e+00 -7.335519e+01 0.000000e+00)	(1.703223e+01 8.100520e-02 0.000000e+00)
17            	(1.731644e+01 -7.452133e+01 0.000000e+00)	(0.000000e+00 -7.462134e+01 0.000000e+00)	(1.731644e+01 1.000111e-01 0.000000e+00)
18            	(1.761427e+01 -7.580114e+01 0.000000e+00)	(0.000000e+00 -7.592312e+01 0.000000e+00)	(1.761427e+01 1.219771e-01 0.000000e+00)
19            	(1.792019e+01 -7.712438e+01 0.000000e+00)	(0.000000e+00 -7.727179e+01 0.000000e+00)	(1.792019e+01 1.474161e-01 0.000000e+00)
20            	(1.823826e+01 -7.847231e+01 0.000000e+00)	(0.000000e+00 -7.864871e+01 0.000000e+00)	(1.823826e+01 1.764042e-01 0.000000e+00)
21            	(1.856370e+01 -7.985240e+01 0.000000e+00)	(0.000000e+00 -8.006186e+01 0.000000e+00)	(1.856370e+01 2.094677e-01 0.000000e+00)
22            	(1.889998e+01 -8.124740e+01 0.000000e+00)	(0.000000e+00 -8.149409e+01 0.000000e+00)	(1.889998e+01 2.466922e-01 0.000000e+00)
23            	(1.924296e+01 -8.266178e+01 0.000000e+00)	(0.000000e+00 -8.295039e+01 0.000000e+00)	(1.924296e+01 2.886083e-01 0.000000e+00)
24            	(1.959565e+01 -8.407943e+01 0.000000e+00)	(0.000000e+00 -8.441474e+01 0.000000e+00)	(1.959565e+01 3.353094e-01 0.000000e+00)
25            	(1.995443e+01 -8.550210e+01 0.000000e+00)	(0.000000e+00 -8.588942e+01 0.000000e+00)	(1.995443e+01 3.873235e-01 0.000000e+00)
26            	(2.032194e+01 -8.691455e+01 0.000000e+00)	(0.000000e+00 -8.735930e+01 0.000000e+00)	(2.032194e+01 4.447531e-01 0.000000e+00)
27            	(2.069505e+01 -8.831606e+01 0.000000e+00)	(0.000000e+00 -8.882418e+01 0.000000e+00)	(2.069505e+01 5.081194e-01 0.000000e+00)
28            	(2.107610e+01 -8.969212e+01 0.000000e+00)	(0.000000e+00 -9.026966e+01 0.000000e+00)	(2.107610e+01 5.775404e-01 0.000000e+00)
29            	(2.146235e+01 -9.103980e+01 0.000000e+00)	(0.000000e+00 -9.169333e+01 0.000000e+00)	(2.146235e+01 6.535325e-01 0.000000e+00)
30            	(2.185588e+01 -9.234523e+01 0.000000e+00)	(0.000000e+00 -9.308148e+01 0.000000e+00)	(2.185588e+01 7.362435e-01 0.000000e+00)
31            	(2.225425e+01 -9.360348e+01 0.000000e+00)	(0.000000e+00 -9.442967e+01 0.000000e+00)	(2.225425e+01 8.261944e-01 0.000000e+00)
32            	(2.265926e+01 -9.480075e+01 0.000000e+00)	(0.000000e+00 -9.572433e+01 0.000000e+00)	(2.265926e+01 9.235812e-01 0.000000e+00)
33            	(2.306860e+01 -9.592991e+01 0.000000e+00)	(0.000000e+00 -9.695885e+01 0.000000e+00)	(2.306860e+01 1.028947e+00 0.000000e+00)
34            	(2.348357e+01 -9.697759e+01 0.000000e+00)	(0.000000e+00 -9.812017e+01 0.000000e+00)	(2.348357e+01 1.142587e+00 0.000000e+00)
35            	(2.390179e+01 -9.793473e+01 0.000000e+00)	(0.000000e+00 -9.919985e+01 0.000000e+00)	(2.390179e+01 1.265121e+00 0.000000e+00)
36            	(2.432383e+01 -9.878745e+01 0.000000e+00)	(0.000000e+00 -1.001844e+02 0.000000e+00)	(2.432383e+01 1.396978e+00 0.000000e+00)
37            	(2.474668e+01 -9.952423e+01 0.000000e+00)	(0.000000e+00 -1.010631e+02 0.000000e+00)	(2.474668e+01 1.538895e+00 0.000000e+00)
38            	(2.516964e+01 -1.001296e+02 0.000000e+00)	(0.000000e+00 -1.018211e+02 0.000000e+00)	(2.516964e+01 1.691483e+00 0.000000e+00)
39            	(2.558827e+01 -1.005885e+02 0.000000e+00)	(0.000000e+00 -1.024441e+02 0.000000e+00)	(2.558827e+01 1.855632e+00 0.000000e+00)
40            	(2.599979e+01 -1.008821e+02 0.000000e+00)	(0.000000e+00 -1.029142e+02 0.000000e+00)	(2.599979e+01 2.032077e+00 0.000000e+00)
41            	(2.640391e+01 -1.009939e+02 0.000000e+00)	(0.000000e+00 -1.032133e+02 0.000000e+00)	(2.640391e+01 2.219431e+00 0.000000e+00)
42            	(2.678659e+01 -1.009183e+02 0.000000e+00)	(0.000000e+00 -1.033344e+02 0.000000e+00)	(2.678659e+01 2.416066e+00 0.000000e+00)
43            	(2.713081e+01 -1.006541e+02 0.000000e+00)	(0.000000e+00 -1.032747e+02 0.000000e+00)	(2.713081e+01 2.620611e+00 0.000000e+00)
